ScanTime,CowTag,InOrOut,Tray(IfApplicable)
2025-01-27 00:00:03,000000000840003229291852,Out,0
2025-01-27 00:00:06,000000000840003229291852,In,0
2025-01-27 00:00:19,000000000840003229291852,Out,0
2025-01-27 00:00:27,000000000840003229291852,In,0
2025-01-27 00:00:37,000000000840003229291852,Out,0
2025-01-27 00:00:45,000000000840003229291852,In,0
2025-01-27 00:00:51,000000000840003229291852,Out,0
2025-01-27 00:01:01,000000000840003229291852,In,0
2025-01-27 00:01:18,000000000840003229291852,Out,0
2025-01-27 00:01:26,000000000840003229291852,In,0
2025-01-27 00:01:33,000000000840003229291852,Out,0
2025-01-27 00:01:48,000000000840003229291852,In,0
2025-01-27 00:02:17,000000000840003229291852,Out,0
2025-01-27 00:02:19,000000000840003229291852,In,0
2025-01-27 00:02:25,000000000840003229291852,Out,0
2025-01-27 00:02:25,000000000840003229291852,In,0
2025-01-27 00:02:39,000000000840003229291852,Out,0
2025-01-27 00:03:12,000000000840003229291852,In,0
2025-01-27 00:03:16,000000000840003229291852,Out,0
2025-01-27 00:03:34,000000000840003229291852,In,0
2025-01-27 00:03:38,000000000840003229291852,Out,0
2025-01-27 00:04:50,000000000840003229291852,Out,0
2025-01-27 00:05:57,000000000840003267804593,In,0
2025-01-27 00:06:01,000000000840003267804593,Out,0
2025-01-27 00:07:11,000000000840003267804593,Out,0
2025-01-27 00:07:16,000000000840003229291770,In,0
2025-01-27 00:07:42,000000000840003229291770,Out,0
2025-01-27 00:08:42,000000000840003229291770,Out,0
2025-01-27 00:08:44,000000000840003267804624,In,0
2025-01-27 00:09:02,000000000840003267804624,Out,0
2025-01-27 00:09:10,000000000840003267804624,In,0
2025-01-27 00:09:18,000000000840003267804624,Out,0
2025-01-27 00:09:32,000000000840003267804624,In,0
2025-01-27 00:09:43,000000000840003267804624,Out,0
2025-01-27 00:10:43,000000000840003267804624,Out,0
2025-01-27 00:10:50,000000000840003267804624,In,0
2025-01-27 00:11:01,000000000840003267804624,Out,0
2025-01-27 00:11:01,000000000840003267804624,In,0
2025-01-27 00:11:06,000000000840003267804624,Out,0
2025-01-27 00:11:26,000000000840003267804624,In,0
2025-01-27 00:11:31,000000000840003267804624,Out,0
2025-01-27 00:12:31,000000000840003267804624,Out,0
2025-01-27 00:12:44,000000000840003207277878,In,0
2025-01-27 00:12:49,000000000840003207277878,Out,0
2025-01-27 00:12:49,000000000840003207277878,In,0
2025-01-27 00:12:56,000000000840003207277878,Out,0
2025-01-27 00:13:56,000000000840003207277878,Out,0
2025-01-27 00:14:33,000000000840003207277878,In,0
2025-01-27 00:14:37,000000000840003207277878,Out,0
2025-01-27 00:14:51,000000000840003207277878,In,0
2025-01-27 00:15:03,000000000840003207277878,Out,0
2025-01-27 00:15:10,000000000840003207277878,In,0
2025-01-27 00:15:27,000000000840003207277878,Out,0
2025-01-27 00:16:27,000000000840003207277878,Out,0
2025-01-27 00:16:50,000000000840003207277878,In,0
2025-01-27 00:16:59,000000000840003207277878,Out,0
2025-01-27 00:17:10,000000000840003207277878,In,0
2025-01-27 00:17:17,000000000840003207277878,Out,0
2025-01-27 00:17:17,000000000840003207277878,In,0
2025-01-27 00:17:36,000000000840003207277878,Out,0
2025-01-27 00:18:00,000000000840003207277878,In,0
2025-01-27 00:18:04,000000000840003207277878,Out,0
2025-01-27 00:19:04,000000000840003207277878,Out,0
2025-01-27 00:19:48,000000000840003207277878,In,0
2025-01-27 00:19:56,000000000840003207277878,Out,0
2025-01-27 00:20:01,000000000840003207277878,In,0
2025-01-27 00:21:02,000000000840003207277878,Out,0
2025-01-27 00:21:35,000000000840003267804605,In,0
2025-01-27 00:21:44,000000000840003267804605,Out,0
2025-01-27 00:21:46,000000000840003267804605,In,0
2025-01-27 00:22:37,000000000840003267804605,Out,0
2025-01-27 00:22:40,000000000840003267804613,In,0
2025-01-27 00:22:47,000000000840003267804613,Out,0
2025-01-27 00:23:20,000000000840003267804613,In,0
2025-01-27 00:23:25,000000000840003267804613,Out,0
2025-01-27 00:23:29,000000000840003267804613,In,0
2025-01-27 00:23:38,000000000840003267804613,Out,0
2025-01-27 00:23:46,000000000840003267804613,In,0
2025-01-27 00:24:02,000000000840003267804613,Out,0
2025-01-27 00:24:18,000000000840003209882141,In,0
2025-01-27 00:24:27,000000000840003209882141,Out,0
2025-01-27 00:24:29,000000000840003209882141,In,0
2025-01-27 00:24:54,000000000840003209882141,Out,0
2025-01-27 00:25:01,000000000840003209882141,In,0
2025-01-27 00:25:27,000000000840003209882141,Out,0
2025-01-27 00:26:09,000000000840003220323494,In,0
2025-01-27 00:26:25,000000000840003220323494,Out,0
2025-01-27 00:26:39,000000000840003267804606,In,0
2025-01-27 00:26:46,000000000840003267804606,Out,0
2025-01-27 00:26:50,000000000840003267804606,In,0
2025-01-27 00:27:01,000000000840003267804606,Out,0
